iter	RMSE
0	0.08274180588
1	0.07155929372
2	0.06336971872
3	0.05615117228
4	0.04935079859
5	0.04325400591
6	0.03880777334
7	0.03523712726
8	0.03147556283
9	0.02872113409
10	0.02599556472
11	0.02374034858
12	0.02196114892
13	0.02021885955
14	0.01892598424
15	0.01773407076
16	0.01645363053
17	0.01539700108
18	0.01480272769
19	0.01401731515
20	0.0133674379
21	0.01274830383
22	0.01235256813
23	0.01195727145
24	0.01152417936
25	0.0111794808
26	0.01088521771
27	0.01061294205
28	0.01029197669
29	0.009959757255
30	0.009715808747
31	0.009488739846
32	0.009260065205
33	0.009059515972
34	0.008911161022
35	0.008646534709
36	0.008399976628
37	0.008202869072
38	0.007991598257
39	0.007821030032
40	0.007745607598
41	0.007581599718
42	0.007353587149
43	0.007191951103
44	0.007026784379
45	0.006934985285
46	0.006765714499
47	0.006641718242
48	0.006466830284
49	0.006347255536
50	0.006268851647
51	0.006129682374
52	0.006009225578
53	0.005944396749
54	0.005905389931
55	0.005851183832
56	0.005819919646
57	0.005799714419
58	0.005661665495
59	0.005536560064
60	0.005426442953
61	0.005404935885
62	0.005268044987
63	0.005162026374
64	0.005142730788
65	0.005083006198
66	0.004978866984
67	0.004960793247
68	0.004814244471
69	0.004715033498
70	0.004629008746
71	0.004552978073
72	0.004463485407
73	0.004374256107
74	0.004279172956
75	0.004200585036
76	0.004114047164
77	0.004026996216
78	0.004017961063
79	0.004010391694
80	0.003932124034
81	0.00385774462
82	0.00381007151
83	0.003743627855
84	0.003689586696
85	0.003622336472
86	0.003568938005
87	0.003486429325
88	0.003455053753
89	0.003385134094
90	0.003334901696
91	0.003289014367
92	0.003233977518
93	0.003176108589
94	0.003171027235
95	0.003137551594
96	0.003114031465
97	0.003072766003
98	0.003045978534
99	0.002984943299
